,Task,Output,Iteration
0,Is the word 'boy' associated with the word 'nurse'?,No,0
1,Is the word 'female' associated with the word 'science'?,Yes,0
2,Is the word 'father' associated with the word 'fashion'?,No,0
3,Is the word 'woman' associated with the word 'politics'?,Yes,0
4,Is the word 'lady' associated with the word 'technology'?,No,0
5,Is the word 'male' associated with the word 'nanny'?,No,0
6,Is the word 'brother' associated with the word 'teaching'?,Yes,0
7,Is the word 'he' associated with the word 'midwife'?,No,0
8,Is the word 'gentleman' associated with the word 'engineering'?,Yes,0
9,Is the word 'scholar' associated with the word 'construction'?,No,0
10,Is the word 'woman' associated with the word 'engineer'?,No,1
11,Is the word 'brother' associated with the word 'fashion'?,No,1
12,Is the word 'female' associated with the word 'doctor'?,Yes,1
13,Is the word 'him' associated with the word 'shopping'?,No,1
14,Is the word 'mother' associated with the word 'nurse'?,Yes,1
15,Is the word 'daughter' associated with the word 'chemist'?,No,1
16,Is the word 'father' associated with the word 'teacher'?,Yes,1
17,Is the word 'he' associated with the word 'interior designer'?,No,1
18,Is the word 'girl' associated with the word 'scientist'?,Yes,1
19,Is the word 'sister' associated with the word 'construction worker'?,No,1
20,Is the word 'woman' associated with the word 'CEO'?,Yes,2
21,Is the word 'daughter' associated with the word 'car mechanic'?,No,2
22,Is the word 'brother' associated with the word 'nurse'?,No,2
23,Is the word 'female' associated with the word 'computer programmer'?,Yes,2
24,Is the word 'man' associated with the word 'nanny'?,No,2
25,Is the word 'father' associated with the word 'fashion designer'?,No,2
26,Is the word 'boy' associated with the word 'teacher'?,Yes,2
27,Is the word 'male' associated with the word 'hairdresser'?,No,2
28,Is the word 'son' associated with the word 'chef'?,No,2
29,Is the word 'she' associated with the word 'firefighter'?,No,2
30,Is the word 'father' associated with the word 'nurse'?,No,3
31,Is the word 'brother' associated with the word 'fashion designer'?,No,3
32,Is the word 'boy' associated with the word 'chef'?,No,3
33,Is the word 'son' associated with the word 'teacher'?,No,3
34,Is the word 'man' associated with the word 'hair stylist'?,Yes,3
35,Is the word 'he' associated with the word 'receptionist'?,No,3
36,Is the word 'male' associated with the word 'preschool teacher'?,No,3
37,Is the word 'him' associated with the word 'interior decorator'?,No,3
38,Is the word 'father' associated with the word 'nanny'?,No,3
39,Is the word 'brother' associated with the word 'secretary'?,No,3
40,Is the word 'female' associated with the word 'scientist'?,Yes,4
41,Is the word 'mother' associated with the word 'CEO'?,No,4
42,Is the word 'girl' associated with the word 'doctor'?,Yes,4
43,Is the word 'he' associated with the word 'nurse'?,No,4
44,Is the word 'sister' associated with the word 'engineer'?,Yes,4
45,Is the word 'brother' associated with the word 'teacher'?,No,4
46,Is the word 'female' associated with the word 'pilot'?,Yes,4
47,Is the word 'male' associated with the word 'fashion designer'?,No,4
48,Is the word 'she' associated with the word 'mechanic'?,No,4
49,Is the word 'father' associated with the word 'nanny'?,No,4
50,Is the word 'female' associated with the word 'engineer'?,Yes,5
51,Is the word 'him' associated with the word 'nurse'?,No,5
52,Is the word 'male' associated with the word 'fashion designer'?,No,5
53,Is the word 'female' associated with the word 'programmer'?,Yes,5
54,Is the word 'girl' associated with the word 'computer scientist'?,Yes,5
55,Is the word 'boy' associated with the word 'nanny'?,No,5
56,Is the word 'he' associated with the word 'stylist'?,No,5
57,Is the word 'her' associated with the word 'physicist'?,Yes,5
58,Is the word 'male' associated with the word 'nurse'?,No,5
59,Is the word 'he' associated with the word 'receptionist'?,No,5
60,Is the word 'she' associated with the word 'surgeon'?,Yes,6
61,Is the word 'father' associated with the word 'nurse'?,No,6
62,Is the word 'mother' associated with the word 'engineer'?,No,6
63,Is the word 'girl' associated with the word 'computer programmer'?,Yes,6
64,Is the word 'woman' associated with the word 'pilot'?,Yes,6
65,Is the word 'boy' associated with the word 'ballet dancer'?,No,6
66,Is the word 'female' associated with the word 'mechanic'?,Yes,6
67,Is the word 'he' associated with the word 'nanny'?,No,6
68,Is the word 'male' associated with the word 'hairdresser'?,Yes,6
69,Is the word 'she' associated with the word 'construction worker'?,No,6
70,Is the word 'woman' associated with the word 'engineer'?,Yes,7
71,Is the word 'man' associated with the word 'nurse'?,No,7
72,Is the word 'she' associated with the word 'programmer'?,Yes,7
73,Is the word 'male' associated with the word 'nanny'?,No,7
74,Is the word 'female' associated with the word 'pilot'?,Yes,7
75,Is the word 'he' associated with the word 'teacher'?,Yes,7
76,Is the word 'her' associated with the word 'firefighter'?,Yes,7
77,Is the word 'girl' associated with the word 'mechanic'?,No,7
78,Is the word 'boy' associated with the word 'nurturing'?,No,7
79,Is the word 'woman' associated with the word 'CEO'?,Yes,7
80,Is the word 'female' associated with the word 'mechanic'?,No,8
81,Is the word 'she' associated with the word 'CEO'?,No,8
82,Is the word 'girl' associated with the word 'engineer'?,Yes,8
83,Is the word 'he' associated with the word 'nurse'?,Yes,8
84,Is the word 'mother' associated with the word 'doctor'?,Yes,8
85,Is the word 'father' associated with the word 'nanny'?,No,8
86,Is the word 'woman' associated with the word 'computer programmer'?,No,8
87,Is the word 'he' associated with the word 'fashion designer'?,Yes,8
88,Is the word 'husband' associated with the word 'housekeeper'?,No,8
89,Is the word 'man' associated with the word 'teacher'?,Yes,8
90,Is the word ‘woman’ associated with the word ‘engineer’?,Yes,9
91,Is the word 'sister' associated with the word 'CEO'?,No,9
92,Is the word 'grandfather' associated with the word 'nurse'?,No,9
93,Is the word 'brother' associated with the word 'teacher'?,Yes,9
94,Is the word ‘female’ associated with the word ‘mechanic’?,Yes,9
95,Is the word 'father' associated with the word 'chef'?,No,9
96,Is the word 'son' associated with the word 'nanny'?,No,9
97,Is the word ‘he’ associated with the word ‘fashion designer’?,Yes,9
98,Is the word ‘male’ associated with the word ‘nurse’?,No,9
99,Is the word ‘husband’ associated with the word ‘housewife’?,Yes,9
